"","DAP","Comment","Outcome","UNKDAP2_N_masked","CDM_table","variable","coding_system","code.DAP_UNIQUE_CODELIST","code.CDM_CODELIST","length_str"
"43","UNKDAP","BOTH","DP_ASPIRIN",52330,"MEDICINES","medicinal_product_atc_code","ATC","B01AC06","B01AC06",7
"44","UNKDAP","BOTH","DP_ANTICOAG",1136,"MEDICINES","medicinal_product_atc_code","ATC","B01AD","B01AD",5
"45","UNKDAP","BOTH","DP_Polypharmacy",1136,"MEDICINES","medicinal_product_atc_code","ATC","B01AD","B01AD",5
"46","UNKDAP","BOTH","DP_ANTICOAG",1097,"MEDICINES","medicinal_product_atc_code","ATC","B01AE","B01AE",5
"47","UNKDAP","BOTH","DP_Polypharmacy",1097,"MEDICINES","medicinal_product_atc_code","ATC","B01AE","B01AE",5
"48","UNKDAP","BOTH","DP_ANTICOAG",1140,"MEDICINES","medicinal_product_atc_code","ATC","B01AF","B01AF",5
"49","UNKDAP","BOTH","DP_Polypharmacy",1140,"MEDICINES","medicinal_product_atc_code","ATC","B01AF","B01AF",5
"50","UNKDAP","BOTH","DP_ANTICOAG",520,"MEDICINES","medicinal_product_atc_code","ATC","B01AX","B01AX",5
"51","UNKDAP","BOTH","DP_Polypharmacy",520,"MEDICINES","medicinal_product_atc_code","ATC","B01AX","B01AX",5
"52","UNKDAP","BOTH","DP_DIGOX",3641,"MEDICINES","medicinal_product_atc_code","ATC","C01AA05","C01AA05",7
"53","UNKDAP","BOTH","DP_Polypharmacy",3641,"MEDICINES","medicinal_product_atc_code","ATC","C01AA05","C01AA05",7
"54","UNKDAP","BOTH","DP_ANTIARRHYT",5261,"MEDICINES","medicinal_product_atc_code","ATC","C01B","C01B",4
"55","UNKDAP","BOTH","DP_COVCVD",5261,"MEDICINES","medicinal_product_atc_code","ATC","C01B","C01B",4
"56","UNKDAP","BOTH","DP_Polypharmacy",5261,"MEDICINES","medicinal_product_atc_code","ATC","C01B","C01B",4
"57","UNKDAP","BOTH","DP_HEPATOTOX",51,"MEDICINES","medicinal_product_atc_code","ATC","C01BD01","C01BD01",7
"58","UNKDAP","BOTH","DP_Polypharmacy",51,"MEDICINES","medicinal_product_atc_code","ATC","C01BD01","C01BD01",7
"59","UNKDAP","BOTH","DP_EPINEPHRINE",6656,"MEDICINES","medicinal_product_atc_code","ATC","C01CA24","C01CA24",7
"60","UNKDAP","BOTH","DP_EPINEPHRINE",6656,"MEDICINES","medicinal_product_atc_code","ATC","C01CA24","C01CA24",7
"61","UNKDAP","BOTH","DP_Polypharmacy",6656,"MEDICINES","medicinal_product_atc_code","ATC","C01CA24","C01CA24",7
"62","UNKDAP","BOTH","DP_NITRATES",11003,"MEDICINES","medicinal_product_atc_code","ATC","C01DA","C01DA",5
"63","UNKDAP","BOTH","DP_Polypharmacy",11003,"MEDICINES","medicinal_product_atc_code","ATC","C01DA","C01DA",5
"64","UNKDAP","BOTH","DP_HEPATOTOX",65,"MEDICINES","medicinal_product_atc_code","ATC","C01EB16","C01EB16",7
"65","UNKDAP","BOTH","DP_Polypharmacy",65,"MEDICINES","medicinal_product_atc_code","ATC","C01EB16","C01EB16",7
"66","UNKDAP","BOTH","DP_OTHERANTIHYPERT",8102,"MEDICINES","medicinal_product_atc_code","ATC","C02","C02",3
"67","UNKDAP","BOTH","DP_CONTRHYPERT",8102,"MEDICINES","medicinal_product_atc_code","ATC","C02","C02",3
"68","UNKDAP","BOTH","DP_COVCARDIOCEREBROVAS",8102,"MEDICINES","medicinal_product_atc_code","ATC","C02","C02",3
"69","UNKDAP","BOTH","DP_Polypharmacy",8102,"MEDICINES","medicinal_product_atc_code","ATC","C02","C02",3
"70","UNKDAP","BOTH","DP_Polypharmacy",8102,"MEDICINES","medicinal_product_atc_code","ATC","C02","C02",3
"71","UNKDAP","BOTH","DP_DIUR",43450,"MEDICINES","medicinal_product_atc_code","ATC","C03","C03",3
"72","UNKDAP","BOTH","DP_CONTRHYPERT",43450,"MEDICINES","medicinal_product_atc_code","ATC","C03","C03",3
"73","UNKDAP","BOTH","DP_COVCARDIOCEREBROVAS",43450,"MEDICINES","medicinal_product_atc_code","ATC","C03","C03",3
"74","UNKDAP","BOTH","DP_COVCVD",43450,"MEDICINES","medicinal_product_atc_code","ATC","C03","C03",3
"75","UNKDAP","BOTH","DP_Polypharmacy",43450,"MEDICINES","medicinal_product_atc_code","ATC","C03","C03",3
"76","UNKDAP","BOTH","DP_Polypharmacy",43450,"MEDICINES","medicinal_product_atc_code","ATC","C03","C03",3
"77","UNKDAP","BOTH","DP_Polypharmacy",43450,"MEDICINES","medicinal_product_atc_code","ATC","C03","C03",3
"78","UNKDAP","BOTH","DP_BB",9859,"MEDICINES","medicinal_product_atc_code","ATC","C07","C07",3
"79","UNKDAP","BOTH","DP_CONTRHYPERT",9859,"MEDICINES","medicinal_product_atc_code","ATC","C07","C07",3
"80","UNKDAP","BOTH","DP_COVCARDIOCEREBROVAS",9859,"MEDICINES","medicinal_product_atc_code","ATC","C07","C07",3
"81","UNKDAP","BOTH","DP_COVCVD",9859,"MEDICINES","medicinal_product_atc_code","ATC","C07","C07",3
"82","UNKDAP","BOTH","DP_Polypharmacy",9859,"MEDICINES","medicinal_product_atc_code","ATC","C07","C07",3
"83","UNKDAP","BOTH","DP_Polypharmacy",9859,"MEDICINES","medicinal_product_atc_code","ATC","C07","C07",3
"84","UNKDAP","BOTH","DP_Polypharmacy",9859,"MEDICINES","medicinal_product_atc_code","ATC","C07","C07",3
"85","UNKDAP","BOTH","DP_CCB",8708,"MEDICINES","medicinal_product_atc_code","ATC","C08","C08",3
"86","UNKDAP","BOTH","DP_CONTRHYPERT",8708,"MEDICINES","medicinal_product_atc_code","ATC","C08","C08",3
"87","UNKDAP","BOTH","DP_COVCARDIOCEREBROVAS",8708,"MEDICINES","medicinal_product_atc_code","ATC","C08","C08",3
"88","UNKDAP","BOTH","DP_COVCVD",8708,"MEDICINES","medicinal_product_atc_code","ATC","C08","C08",3
"89","UNKDAP","BOTH","DP_Polypharmacy",8708,"MEDICINES","medicinal_product_atc_code","ATC","C08","C08",3
"90","UNKDAP","BOTH","DP_Polypharmacy",8708,"MEDICINES","medicinal_product_atc_code","ATC","C08","C08",3
"91","UNKDAP","BOTH","DP_Polypharmacy",8708,"MEDICINES","medicinal_product_atc_code","ATC","C08","C08",3
"92","UNKDAP","BOTH","DP_HEPATOTOX",45,"MEDICINES","medicinal_product_atc_code","ATC","C08DA01","C08DA01",7
"93","UNKDAP","BOTH","DP_Polypharmacy",45,"MEDICINES","medicinal_product_atc_code","ATC","C08DA01","C08DA01",7
"94","UNKDAP","BOTH","DP_ALLRENINANGIOT",13982,"MEDICINES","medicinal_product_atc_code","ATC","C09","C09",3
"95","UNKDAP","BOTH","DP_CONTRHYPERT",13982,"MEDICINES","medicinal_product_atc_code","ATC","C09","C09",3
"96","UNKDAP","BOTH","DP_COVCARDIOCEREBROVAS",13982,"MEDICINES","medicinal_product_atc_code","ATC","C09","C09",3
"97","UNKDAP","BOTH","DP_COVCVD",13982,"MEDICINES","medicinal_product_atc_code","ATC","C09","C09",3
"98","UNKDAP","BOTH","DP_Polypharmacy",13982,"MEDICINES","medicinal_product_atc_code","ATC","C09","C09",3
"99","UNKDAP","BOTH","DP_Polypharmacy",13982,"MEDICINES","medicinal_product_atc_code","ATC","C09","C09",3
"100","UNKDAP","BOTH","DP_ACE",11842,"MEDICINES","medicinal_product_atc_code","ATC","C09A","C09A",4
"101","UNKDAP","BOTH","DP_HEPATOTOX",47,"MEDICINES","medicinal_product_atc_code","ATC","C09AA01","C09AA01",7
"102","UNKDAP","BOTH","DP_Polypharmacy",47,"MEDICINES","medicinal_product_atc_code","ATC","C09AA01","C09AA01",7
"103","UNKDAP","BOTH","DP_HEPATOTOX",51,"MEDICINES","medicinal_product_atc_code","ATC","C09AA02","C09AA02",7
"104","UNKDAP","BOTH","DP_Polypharmacy",51,"MEDICINES","medicinal_product_atc_code","ATC","C09AA02","C09AA02",7
"105","UNKDAP","BOTH","DP_HEPATOTOX",47,"MEDICINES","medicinal_product_atc_code","ATC","C09AA03","C09AA03",7
"106","UNKDAP","BOTH","DP_Polypharmacy",47,"MEDICINES","medicinal_product_atc_code","ATC","C09AA03","C09AA03",7
"107","UNKDAP","BOTH","DP_ARB",3173,"MEDICINES","medicinal_product_atc_code","ATC","C09C","C09C",4
"108","UNKDAP","BOTH","DP_Polypharmacy",3173,"MEDICINES","medicinal_product_atc_code","ATC","C09C","C09C",4
"109","UNKDAP","BOTH","DP_HEPATOTOX",52,"MEDICINES","medicinal_product_atc_code","ATC","C09CA01","C09CA01",7
"110","UNKDAP","BOTH","DP_Polypharmacy",52,"MEDICINES","medicinal_product_atc_code","ATC","C09CA01","C09CA01",7
"111","UNKDAP","BOTH","DP_HEPATOTOX",58,"MEDICINES","medicinal_product_atc_code","ATC","C09CA04","C09CA04",7
"112","UNKDAP","BOTH","DP_Polypharmacy",58,"MEDICINES","medicinal_product_atc_code","ATC","C09CA04","C09CA04",7
"113","UNKDAP","BOTH","DP_LIPIDLOWER",27922,"MEDICINES","medicinal_product_atc_code","ATC","C10","C10",3
"114","UNKDAP","BOTH","DP_COVCARDIOCEREBROVAS",27922,"MEDICINES","medicinal_product_atc_code","ATC","C10","C10",3
"115","UNKDAP","BOTH","DP_Polypharmacy",27922,"MEDICINES","medicinal_product_atc_code","ATC","C10","C10",3
"116","UNKDAP","BOTH","DP_STAT",12144,"MEDICINES","medicinal_product_atc_code","ATC","C10AA","C10AA",5
"117","UNKDAP","BOTH","DP_Polypharmacy",12144,"MEDICINES","medicinal_product_atc_code","ATC","C10AA","C10AA",5
"118","UNKDAP","BOTH","DP_HEPATOTOX",56,"MEDICINES","medicinal_product_atc_code","ATC","D01AE15","D01AE15",7
"119","UNKDAP","BOTH","DP_Polypharmacy",56,"MEDICINES","medicinal_product_atc_code","ATC","D01AE15","D01AE15",7
"120","UNKDAP","BOTH","DP_HEPATOTOX",59,"MEDICINES","medicinal_product_atc_code","ATC","D01BA02","D01BA02",7
"121","UNKDAP","BOTH","DP_Polypharmacy",59,"MEDICINES","medicinal_product_atc_code","ATC","D01BA02","D01BA02",7
"122","UNKDAP","BOTH","DP_HEPATOTOX",59,"MEDICINES","medicinal_product_atc_code","ATC","D04AX01","D04AX01",7
"123","UNKDAP","BOTH","DP_Polypharmacy",59,"MEDICINES","medicinal_product_atc_code","ATC","D04AX01","D04AX01",7
"124","UNKDAP","BOTH","DP_HEPATOTOX",49,"MEDICINES","medicinal_product_atc_code","ATC","D11AH01","D11AH01",7
"125","UNKDAP","BOTH","DP_Polypharmacy",49,"MEDICINES","medicinal_product_atc_code","ATC","D11AH01","D11AH01",7
"126","UNKDAP","BOTH","DP_HEPATOTOX",73,"MEDICINES","medicinal_product_atc_code","ATC","G02CC01","G02CC01",7
"127","UNKDAP","BOTH","DP_Polypharmacy",73,"MEDICINES","medicinal_product_atc_code","ATC","G02CC01","G02CC01",7
"128","UNKDAP","BOTH","DP_HEPATOTOX",56,"MEDICINES","medicinal_product_atc_code","ATC","G02CC02","G02CC02",7
"129","UNKDAP","BOTH","DP_Polypharmacy",56,"MEDICINES","medicinal_product_atc_code","ATC","G02CC02","G02CC02",7
"130","UNKDAP","BOTH","DP_HEPATOTOX",53,"MEDICINES","medicinal_product_atc_code","ATC","G02CC03","G02CC03",7
"131","UNKDAP","BOTH","DP_Polypharmacy",53,"MEDICINES","medicinal_product_atc_code","ATC","G02CC03","G02CC03",7
"132","UNKDAP","BOTH","DP_SEXHORMONES",985,"MEDICINES","medicinal_product_atc_code","ATC","G03","G03",3
"133","UNKDAP","BOTH","DP_Polypharmacy",985,"MEDICINES","medicinal_product_atc_code","ATC","G03","G03",3
"134","UNKDAP","BOTH","DP_OC",736,"MEDICINES","medicinal_product_atc_code","ATC","G03A","G03A",4
"135","UNKDAP","BOTH","DP_ESTROPROGEST",736,"MEDICINES","medicinal_product_atc_code","ATC","G03A","G03A",4
"136","UNKDAP","BOTH","DP_Polypharmacy",736,"MEDICINES","medicinal_product_atc_code","ATC","G03A","G03A",4
"137","UNKDAP","BOTH","DP_Polypharmacy",736,"MEDICINES","medicinal_product_atc_code","ATC","G03A","G03A",4
"138","UNKDAP","BOTH","DP_ESTROPROGEST",1375,"MEDICINES","medicinal_product_atc_code","ATC","G03C","G03C",4
"139","UNKDAP","BOTH","DP_HEPATOTOX",1375,"MEDICINES","medicinal_product_atc_code","ATC","G03C","G03C",4
"140","UNKDAP","BOTH","DP_Polypharmacy",1375,"MEDICINES","medicinal_product_atc_code","ATC","G03C","G03C",4
"141","UNKDAP","BOTH","DP_Polypharmacy",1375,"MEDICINES","medicinal_product_atc_code","ATC","G03C","G03C",4
"142","UNKDAP","BOTH","DP_ESTROPROGEST",1457,"MEDICINES","medicinal_product_atc_code","ATC","G03D","G03D",4
"143","UNKDAP","BOTH","DP_Polypharmacy",1457,"MEDICINES","medicinal_product_atc_code","ATC","G03D","G03D",4
"144","UNKDAP","BOTH","DP_ESTROPROGEST",705,"MEDICINES","medicinal_product_atc_code","ATC","G03F","G03F",4
"145","UNKDAP","BOTH","DP_Polypharmacy",705,"MEDICINES","medicinal_product_atc_code","ATC","G03F","G03F",4
"146","UNKDAP","BOTH","DP_ASTHMAEXACERB",10128,"MEDICINES","medicinal_product_atc_code","ATC","H02","H02",3
"147","UNKDAP","BOTH","DP_CORTICOST",10128,"MEDICINES","medicinal_product_atc_code","ATC","H02","H02",3
"148","UNKDAP","BOTH","DP_IMMUNOSUPPR",10128,"MEDICINES","medicinal_product_atc_code","ATC","H02","H02",3
"149","UNKDAP","BOTH","DP_Polypharmacy",10128,"MEDICINES","medicinal_product_atc_code","ATC","H02","H02",3
"150","UNKDAP","BOTH","DP_Polypharmacy",10128,"MEDICINES","medicinal_product_atc_code","ATC","H02","H02",3
"151","UNKDAP","BOTH","DP_ANTIBIO",38573,"MEDICINES","medicinal_product_atc_code","ATC","J01","J01",3
"152","UNKDAP","BOTH","DP_Polypharmacy",38573,"MEDICINES","medicinal_product_atc_code","ATC","J01","J01",3
"153","UNKDAP","BOTH","DP_HEPATOTOX",67,"MEDICINES","medicinal_product_atc_code","ATC","J01A","J01A",4
"154","UNKDAP","BOTH","DP_Polypharmacy",67,"MEDICINES","medicinal_product_atc_code","ATC","J01A","J01A",4
"155","UNKDAP","BOTH","DP_HEPATOTOX",43,"MEDICINES","medicinal_product_atc_code","ATC","J01CR02","J01CR02",7
"156","UNKDAP","BOTH","DP_Polypharmacy",43,"MEDICINES","medicinal_product_atc_code","ATC","J01CR02","J01CR02",7
"157","UNKDAP","BOTH","DP_HEPATOTOX",51,"MEDICINES","medicinal_product_atc_code","ATC","J01EE01","J01EE01",7
"158","UNKDAP","BOTH","DP_Polypharmacy",51,"MEDICINES","medicinal_product_atc_code","ATC","J01EE01","J01EE01",7
"159","UNKDAP","BOTH","DP_HEPATOTOX",48,"MEDICINES","medicinal_product_atc_code","ATC","J01FA01","J01FA01",7
"160","UNKDAP","BOTH","DP_Polypharmacy",48,"MEDICINES","medicinal_product_atc_code","ATC","J01FA01","J01FA01",7
"161","UNKDAP","BOTH","DP_HEPATOTOX",53,"MEDICINES","medicinal_product_atc_code","ATC","J01FF01","J01FF01",7
"162","UNKDAP","BOTH","DP_Polypharmacy",53,"MEDICINES","medicinal_product_atc_code","ATC","J01FF01","J01FF01",7
"163","UNKDAP","BOTH","DP_HEPATOTOX",58,"MEDICINES","medicinal_product_atc_code","ATC","J01MA13","J01MA13",7
"164","UNKDAP","BOTH","DP_Polypharmacy",58,"MEDICINES","medicinal_product_atc_code","ATC","J01MA13","J01MA13",7
"165","UNKDAP","BOTH","DP_HEPATOTOX",67,"MEDICINES","medicinal_product_atc_code","ATC","J01XE01","J01XE01",7
"166","UNKDAP","BOTH","DP_Polypharmacy",67,"MEDICINES","medicinal_product_atc_code","ATC","J01XE01","J01XE01",7
"167","UNKDAP","BOTH","DP_HEPATOTOX",61,"MEDICINES","medicinal_product_atc_code","ATC","J02AB02","J02AB02",7
"168","UNKDAP","BOTH","DP_Polypharmacy",61,"MEDICINES","medicinal_product_atc_code","ATC","J02AB02","J02AB02",7
"169","UNKDAP","BOTH","DP_HEPATOTOX",61,"MEDICINES","medicinal_product_atc_code","ATC","J04AB02","J04AB02",7
"170","UNKDAP","BOTH","DP_Polypharmacy",61,"MEDICINES","medicinal_product_atc_code","ATC","J04AB02","J04AB02",7
"171","UNKDAP","BOTH","DP_HEPATOTOX",59,"MEDICINES","medicinal_product_atc_code","ATC","J04AC01","J04AC01",7
"172","UNKDAP","BOTH","DP_Polypharmacy",59,"MEDICINES","medicinal_product_atc_code","ATC","J04AC01","J04AC01",7
"173","UNKDAP","BOTH","DP_HEPATOTOX",54,"MEDICINES","medicinal_product_atc_code","ATC","J04AK01","J04AK01",7
"174","UNKDAP","BOTH","DP_Polypharmacy",54,"MEDICINES","medicinal_product_atc_code","ATC","J04AK01","J04AK01",7
"175","UNKDAP","BOTH","DP_ANTIVIR",7940,"MEDICINES","medicinal_product_atc_code","ATC","J05","J05",3
"176","UNKDAP","BOTH","DP_Polypharmacy",7940,"MEDICINES","medicinal_product_atc_code","ATC","J05","J05",3
"177","UNKDAP","BOTH","DP_COVHIV",1941,"MEDICINES","medicinal_product_atc_code","ATC","J05AE","J05AE",5
"178","UNKDAP","BOTH","DP_COVHIV",1941,"MEDICINES","medicinal_product_atc_code","ATC","J05AE","J05AE",5
"179","UNKDAP","BOTH","DP_Polypharmacy",1941,"MEDICINES","medicinal_product_atc_code","ATC","J05AE","J05AE",5
"180","UNKDAP","BOTH","DP_HEPATOTOX",56,"MEDICINES","medicinal_product_atc_code","ATC","J05AE01","J05AE01",7
"181","UNKDAP","BOTH","DP_Polypharmacy",56,"MEDICINES","medicinal_product_atc_code","ATC","J05AE01","J05AE01",7
"182","UNKDAP","BOTH","DP_HEPATOTOX",45,"MEDICINES","medicinal_product_atc_code","ATC","J05AE02","J05AE02",7
"183","UNKDAP","BOTH","DP_Polypharmacy",45,"MEDICINES","medicinal_product_atc_code","ATC","J05AE02","J05AE02",7
"184","UNKDAP","BOTH","DP_HEPATOTOX",41,"MEDICINES","medicinal_product_atc_code","ATC","J05AE03","J05AE03",7
"185","UNKDAP","BOTH","DP_Polypharmacy",41,"MEDICINES","medicinal_product_atc_code","ATC","J05AE03","J05AE03",7
"186","UNKDAP","BOTH","DP_HEPATOTOX",55,"MEDICINES","medicinal_product_atc_code","ATC","J05AE04","J05AE04",7
"187","UNKDAP","BOTH","DP_Polypharmacy",55,"MEDICINES","medicinal_product_atc_code","ATC","J05AE04","J05AE04",7
"188","UNKDAP","BOTH","DP_HEPATOTOX",48,"MEDICINES","medicinal_product_atc_code","ATC","J05AE07","J05AE07",7
"189","UNKDAP","BOTH","DP_Polypharmacy",48,"MEDICINES","medicinal_product_atc_code","ATC","J05AE07","J05AE07",7
"190","UNKDAP","BOTH","DP_HEPATOTOX",51,"MEDICINES","medicinal_product_atc_code","ATC","J05AE08","J05AE08",7
"191","UNKDAP","BOTH","DP_Polypharmacy",51,"MEDICINES","medicinal_product_atc_code","ATC","J05AE08","J05AE08",7
"192","UNKDAP","BOTH","DP_HEPATOTOX",56,"MEDICINES","medicinal_product_atc_code","ATC","J05AE09","J05AE09",7
"193","UNKDAP","BOTH","DP_Polypharmacy",56,"MEDICINES","medicinal_product_atc_code","ATC","J05AE09","J05AE09",7
"194","UNKDAP","BOTH","DP_HEPATOTOX",57,"MEDICINES","medicinal_product_atc_code","ATC","J05AE10","J05AE10",7
"195","UNKDAP","BOTH","DP_Polypharmacy",57,"MEDICINES","medicinal_product_atc_code","ATC","J05AE10","J05AE10",7
"196","UNKDAP","BOTH","DP_COVHIV",3848,"MEDICINES","medicinal_product_atc_code","ATC","J05AF","J05AF",5
"197","UNKDAP","BOTH","DP_COVHIV",3848,"MEDICINES","medicinal_product_atc_code","ATC","J05AF","J05AF",5
"198","UNKDAP","BOTH","DP_Polypharmacy",3848,"MEDICINES","medicinal_product_atc_code","ATC","J05AF","J05AF",5
"199","UNKDAP","BOTH","DP_HEPATOTOX",67,"MEDICINES","medicinal_product_atc_code","ATC","J05AF01","J05AF01",7
"200","UNKDAP","BOTH","DP_Polypharmacy",67,"MEDICINES","medicinal_product_atc_code","ATC","J05AF01","J05AF01",7
"201","UNKDAP","BOTH","DP_HEPATOTOX",52,"MEDICINES","medicinal_product_atc_code","ATC","J05AF02","J05AF02",7
"202","UNKDAP","BOTH","DP_Polypharmacy",52,"MEDICINES","medicinal_product_atc_code","ATC","J05AF02","J05AF02",7
"203","UNKDAP","BOTH","DP_HEPATOTOX",58,"MEDICINES","medicinal_product_atc_code","ATC","J05AF04","J05AF04",7
"204","UNKDAP","BOTH","DP_Polypharmacy",58,"MEDICINES","medicinal_product_atc_code","ATC","J05AF04","J05AF04",7
"205","UNKDAP","BOTH","DP_HEPATOTOX",71,"MEDICINES","medicinal_product_atc_code","ATC","J05AF05","J05AF05",7
"206","UNKDAP","BOTH","DP_Polypharmacy",71,"MEDICINES","medicinal_product_atc_code","ATC","J05AF05","J05AF05",7
"207","UNKDAP","BOTH","DP_HEPATOTOX",62,"MEDICINES","medicinal_product_atc_code","ATC","J05AF06","J05AF06",7
"208","UNKDAP","BOTH","DP_Polypharmacy",62,"MEDICINES","medicinal_product_atc_code","ATC","J05AF06","J05AF06",7
"209","UNKDAP","BOTH","DP_HEPATOTOX",49,"MEDICINES","medicinal_product_atc_code","ATC","J05AF07","J05AF07",7
"210","UNKDAP","BOTH","DP_Polypharmacy",49,"MEDICINES","medicinal_product_atc_code","ATC","J05AF07","J05AF07",7
"211","UNKDAP","BOTH","DP_HEPATOTOX",48,"MEDICINES","medicinal_product_atc_code","ATC","J05AF09","J05AF09",7
"212","UNKDAP","BOTH","DP_Polypharmacy",48,"MEDICINES","medicinal_product_atc_code","ATC","J05AF09","J05AF09",7
"213","UNKDAP","BOTH","DP_COVHIV",3883,"MEDICINES","medicinal_product_atc_code","ATC","J05AG","J05AG",5
"214","UNKDAP","BOTH","DP_COVHIV",3883,"MEDICINES","medicinal_product_atc_code","ATC","J05AG","J05AG",5
